,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,序号_y,名称_y,最新价_y,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比,a1,MA5,MA10,MA20,MA30,MA60,MA5_1,MA10_1,MA20_1,MA30_1,MA60_1,MA5_score,MA10_score,MA20_score,MA30_score,MA60_score,T_MA5_score,T_MA10_score,T_MA20_score,T_MA30_score,T_MA60_score
3227,3228,300123,亚光科技,9.07,-0.11,-0.01,104933.0,95251519.0,1.43,9.17,9.04,9.08,9.08,0.72,1.06,675.01,1.78,2777.0,亚光科技,9.07,-0.11,-1906804.0,-2.0,-6303529.0,-6.62,4396725.0,4.62,1628009.0,1.71,278793.0,0.29,0.0,9.032,8.984,9.2095,9.303333333333335,9.233166666666667,8.962,8.977,9.2325,9.319333333333333,9.246333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,60.0
3228,3229,603489,八方股份,225.6,-0.11,-0.25,2441.0,54765404.0,2.86,227.65,221.2,225.96,225.85,1.52,0.34,46.9,10.84,3465.0,八方股份,225.6,-0.11,-5747722.0,-10.5,-1595380.0,-2.91,-4152342.0,-7.58,1576375.0,2.88,4171346.0,7.62,0.3339573837814289,227.06599999999997,230.277,234.18449999999999,239.612,247.92,227.36599999999999,230.897,234.6045,240.50933333333336,248.35883333333334,5.0,0.0,0.0,0.0,0.0,5.0,10.0,20.0,30.0,60.0
3229,3230,300232,洲明科技,8.94,-0.11,-0.01,150627.0,134667592.0,1.45,9.01,8.88,8.99,8.95,0.73,1.79,35.39,2.11,920.0,洲明科技,8.94,-0.11,4946462.0,3.67,2214319.0,1.64,2732143.0,2.03,-6187034.0,-4.59,1240572.0,0.92,0.0,8.841999999999999,8.901,8.9755,9.051666666666668,8.905333333333333,8.797999999999998,8.896,8.972999999999999,9.068666666666667,8.897833333333333,0.0,10.0,20.0,0.0,60.0,0.0,0.0,20.0,30.0,0.0
3230,3231,300252,金信诺,8.92,-0.11,-0.01,53168.0,47536417.0,1.34,9.01,8.89,9.0,8.93,0.85,1.29,106.34,2.18,2683.0,金信诺,8.92,-0.11,-1600980.0,-3.37,-1355423.0,-2.85,-245557.0,-0.52,1276762.0,2.69,324219.0,0.68,0.0,8.931999999999999,9.014999999999999,9.1455,9.431333333333335,9.390166666666667,8.947999999999999,9.016,9.194,9.472333333333333,9.409333333333333,5.0,0.0,0.0,0.0,0.0,5.0,10.0,20.0,30.0,60.0
3231,3232,002890,弘宇股份,17.43,-0.11,-0.02,10399.0,18125469.0,1.78,17.53,17.22,17.45,17.45,0.79,1.55,76.24,2.91,1425.0,弘宇股份,17.43,-0.11,1427973.0,7.88,0.0,0.0,1427973.0,7.88,-246268.0,-1.36,-1181704.0,-6.52,0.0,17.286,17.06,16.91,16.799,16.206333333333333,17.116,16.997,16.865000000000002,16.756666666666668,16.18016666666667,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3232,3233,603950,长源东谷,17.4,-0.11,-0.02,6912.0,12022706.0,1.38,17.52,17.28,17.37,17.42,0.87,0.78,13.78,1.81,1807.0,长源东谷,17.4,-0.11,255632.0,2.13,0.0,0.0,255632.0,2.13,68240.0,0.57,-323871.0,-2.69,0.0,17.357999999999997,17.516,17.541,17.547,17.435833333333335,17.35,17.541999999999998,17.528,17.545666666666666,17.458000000000002,5.0,10.0,0.0,0.0,60.0,0.0,10.0,20.0,30.0,60.0
3233,3234,000062,深圳华强,17.23,-0.12,-0.02,59044.0,101725491.0,1.91,17.44,17.11,17.44,17.25,1.07,0.57,19.06,2.99,986.0,深圳华强,17.23,-0.12,4331029.0,4.26,4295467.0,4.22,35562.0,0.03,-4992391.0,-4.91,661361.0,0.65,0.0,17.0,16.743000000000002,16.8125,16.811,16.161833333333334,16.814,16.645,16.791999999999998,16.791666666666668,16.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3234,3235,300188,美亚柏科,17.19,-0.12,-0.02,69762.0,119893235.0,1.39,17.32,17.08,17.3,17.21,0.91,1.15,311.69,4.31,3840.0,美亚柏科,17.19,-0.12,-10676524.0,-8.91,-3560964.0,-2.97,-7115560.0,-5.93,5485739.0,4.58,5190785.0,4.33,0.0,17.156000000000002,17.125999999999998,17.358,17.205333333333332,16.710166666666666,17.119999999999997,17.099,17.3895,17.176333333333336,16.705666666666666,5.0,10.0,0.0,30.0,0.0,0.0,0.0,20.0,30.0,0.0
3235,3236,300965,恒宇信通,68.66,-0.12,-0.08,2465.0,16952590.0,1.09,69.18,68.43,68.74,68.74,0.68,1.64,53.78,3.07,2435.0,恒宇信通,68.66,-0.12,-891678.0,-5.26,0.0,0.0,-891678.0,-5.26,-2637955.0,-15.56,3529633.0,20.82,0.0,68.202,67.839,68.5855,70.10300000000001,68.732,67.704,67.772,68.63300000000001,70.16033333333333,68.70766666666667,0.0,0.0,20.0,0.0,60.0,0.0,0.0,0.0,30.0,60.0
3236,3237,600000,浦发银行,8.53,-0.12,-0.01,229296.0,195941582.0,0.47,8.57,8.53,8.54,8.54,1.03,0.08,4.52,0.46,4342.0,浦发银行,8.53,-0.12,-28337507.0,-14.46,-23745980.0,-12.12,-4591527.0,-2.34,18525058.0,9.45,9812449.0,5.01,0.0,8.542,8.556999999999999,8.5975,8.596333333333332,8.697833333333334,8.547999999999998,8.562000000000001,8.601,8.598666666666666,8.708166666666665,5.0,10.0,0.0,0.0,0.0,5.0,10.0,20.0,30.0,60.0
